n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
1793	104	23	503	793	2166	3825	2420	5583	152595	results/200k/k16/l16/hsapiens-scaffolds.fa
1983	111	27	503	791	1897	3168	2025	4596	149907	results/200k/k16/l50/hsapiens-scaffolds.fa
723	66	12	502	1897	5899	8683	5356	12212	187329	results/200k/k22/l50/hsapiens-scaffolds.fa
191	40	7	513	4132	8638	20673	12186	31603	201859	results/200k/k27/l16/hsapiens-scaffolds.fa
212	42	7	517	3985	10339	20309	11089	22849	202315	results/200k/k29/l50/hsapiens-scaffolds.fa
122	39	7	604	4011	9620	22769	11547	23760	205108	results/200k/k31/l26/hsapiens-scaffolds.fa
86	34	7	548	5573	11404	15709	11233	22763	205933	results/200k/k32/l30/hsapiens-scaffolds.fa
67	28	6	615	8639	13192	23737	14419	24001	207074	results/200k/k33/l16/hsapiens-scaffolds.fa
67	28	5	615	8125	13780	23737	15058	27440	207074	results/200k/k33/l33/hsapiens-scaffolds.fa
88	34	6	500	6273	13192	23737	13851	23743	206231	results/200k/k33/l50/hsapiens-scaffolds.fa
57	27	7	617	8446	12147	15699	12077	22766	209077	results/200k/k34/l16/hsapiens-scaffolds.fa
61	31	6	563	8366	13196	22767	13502	23729	208746	results/200k/k35/l50/hsapiens-scaffolds.fa
53	26	6	621	8302	13175	22768	14517	29498	208236	results/200k/k36/l16/hsapiens-scaffolds.fa
54	29	6	567	6048	13433	22769	13241	23584	208005	results/200k/k37/l50/hsapiens-scaffolds.fa
43	25	6	536	7750	13179	22770	14524	29459	208645	results/200k/k38/l16/hsapiens-scaffolds.fa
39	24	5	529	7750	15715	27476	16283	29412	208522	results/200k/k40/l16/hsapiens-scaffolds.fa
42	26	5	529	6000	15458	25373	14966	27302	208295	results/200k/k40/l45/hsapiens-scaffolds.fa
39	23	4	531	7750	23561	27493	17462	29412	207745	results/200k/k41/l16/hsapiens-scaffolds.fa
39	23	4	531	7750	23561	27493	17462	29412	207745	results/200k/k41/l17/hsapiens-scaffolds.fa
39	23	4	531	7750	23561	27493	17462	29412	207745	results/200k/k41/l18/hsapiens-scaffolds.fa
37	22	4	531	7750	23561	27493	17631	29412	207860	results/200k/k41/l19/hsapiens-scaffolds.fa
37	22	4	531	7750	23561	27493	17631	29412	207860	results/200k/k41/l20/hsapiens-scaffolds.fa
38	23	4	531	7750	23561	27493	17437	29412	207860	results/200k/k41/l21/hsapiens-scaffolds.fa
38	23	4	531	7750	23561	27493	17437	29412	207860	results/200k/k41/l22/hsapiens-scaffolds.fa
38	23	4	531	7750	23561	27493	17437	29412	207860	results/200k/k41/l23/hsapiens-scaffolds.fa
38	23	4	531	7750	23561	27493	17437	29412	207860	results/200k/k41/l24/hsapiens-scaffolds.fa
37	23	4	531	7750	23561	27493	17433	29412	207933	results/200k/k41/l25/hsapiens-scaffolds.fa
37	23	4	531	7750	23561	27493	17433	29412	207933	results/200k/k41/l26/hsapiens-scaffolds.fa
37	23	4	531	7750	23561	27493	17433	29412	207933	results/200k/k41/l27/hsapiens-scaffolds.fa
37	23	4	531	7750	23561	27493	17433	29412	207933	results/200k/k41/l28/hsapiens-scaffolds.fa
37	23	4	531	7750	23561	27493	17433	29412	207933	results/200k/k41/l29/hsapiens-scaffolds.fa
37	23	4	531	7750	23561	27493	17433	29412	207933	results/200k/k41/l31/hsapiens-scaffolds.fa
43	27	5	533	6200	15717	23739	14935	27467	207675	results/200k/k42/l16/hsapiens-scaffolds.fa
41	27	5	533	5103	16451	23739	15672	27467	207802	results/200k/k42/l26/hsapiens-scaffolds.fa
46	28	5	533	5103	15460	23722	14198	27467	206851	results/200k/k42/l50/hsapiens-scaffolds.fa
595	120	30	502	638	908	2545	1626	5049	122990	results/200k/k47/l50/hsapiens-scaffolds.fa
878	0	0	0	0	0	0	0	0	0	results/200k/k49/l16/hsapiens-scaffolds.fa
11	0	0	0	0	0	0	0	0	0	results/200k/k50/l16/hsapiens-scaffolds.fa
11	0	0	0	0	0	0	0	0	0	results/200k/k50/l49/hsapiens-scaffolds.fa
11	0	0	0	0	0	0	0	0	0	results/200k/k50/l50/hsapiens-scaffolds.fa
